Client,AD/GP/Others,RO Date,DoP,Bill No.,Bill Date,Final Deal(Rs.),GST(%),Amount Received Date
Destinee Reynolds,Dolores sunt corporis fugit omnis voluptatem.,18-06-2023,12-10-2023,200,21-06-2023,112,12,
Destinee Reynolds,Delectus occaecati molestias.,08-06-2023,31-05-2023,201,19-09-2023,112,12,
Destinee Reynolds,Veniam et et optio molestiae totam reiciendis non.,01-09-2023,29-09-2022,202,10-02-2023,112,12,
Destinee Reynolds,Et in voluptas suscipit corrupti.,20-05-2023,05-09-2023,203,30-10-2023,112,12,
Destinee Reynolds,Dolores libero corporis iusto sint.,23-09-2023,28-01-2023,204,22-01-2023,112,12,
Destinee Reynolds,Mollitia consectetur ut totam iste.,18-04-2023,16-06-2022,205,09-03-2023,112,12,
Destinee Reynolds,Dolores sunt corporis fugit omnis voluptatem.,18-06-2023,12-10-2023,206,21-06-2023,112,12,
Destinee Reynolds,Delectus occaecati molestias.,08-06-2023,31-05-2023,207,19-09-2023,112,12,
Destinee Reynolds,Veniam et et optio molestiae totam reiciendis non.,01-09-2023,29-09-2022,208,10-02-2023,112,12,
Destinee Reynolds,Et in voluptas suscipit corrupti.,20-05-2023,05-09-2023,209,30-10-2023,112,12,
Destinee Reynolds,Dolores libero corporis iusto sint.,23-09-2023,28-01-2023,210,22-01-2023,112,12,
Destinee Reynolds,Mollitia consectetur ut totam iste.,18-04-2023,16-06-2022,211,09-03-2023,112,12,
Destinee Reynolds,Dolores sunt corporis fugit omnis voluptatem.,18-06-2023,12-10-2023,212,21-06-2023,112,12,
Destinee Reynolds,Delectus occaecati molestias.,08-06-2023,31-05-2023,213,19-09-2023,112,12,
Destinee Reynolds,Veniam et et optio molestiae totam reiciendis non.,01-09-2023,29-09-2022,214,10-02-2023,112,12,
Destinee Reynolds,Et in voluptas suscipit corrupti.,20-05-2023,05-09-2023,215,30-10-2023,112,12,
Destinee Reynolds,Dolores libero corporis iusto sint.,23-09-2023,28-01-2023,216,22-01-2023,112,12,
Destinee Reynolds,Mollitia consectetur ut totam iste.,18-04-2023,16-06-2022,217,09-03-2023,112,12,
Destinee Reynolds,Dolores sunt corporis fugit omnis voluptatem.,18-06-2023,12-10-2023,218,21-06-2023,112,12,
Destinee Reynolds,Delectus occaecati molestias.,08-06-2023,31-05-2023,219,19-09-2023,112,12,
Destinee Reynolds,Veniam et et optio molestiae totam reiciendis non.,01-09-2023,29-09-2022,220,10-02-2023,112,12,
Destinee Reynolds,Et in voluptas suscipit corrupti.,20-05-2023,05-09-2023,221,30-10-2023,112,12,
Destinee Reynolds,Dolores libero corporis iusto sint.,23-09-2023,28-01-2023,222,22-01-2023,112,12,
Destinee Reynolds,Mollitia consectetur ut totam iste.,18-04-2023,16-06-2022,223,09-03-2023,112,12,
Destinee Reynolds,Dolores sunt corporis fugit omnis voluptatem.,18-06-2023,12-10-2023,224,21-06-2023,112,12,
Destinee Reynolds,Delectus occaecati molestias.,08-06-2023,31-05-2023,225,19-09-2023,112,12,
Destinee Reynolds,Veniam et et optio molestiae totam reiciendis non.,01-09-2023,29-09-2022,226,10-02-2023,112,12,
Destinee Reynolds,Et in voluptas suscipit corrupti.,20-05-2023,05-09-2023,227,30-10-2023,112,12,
Destinee Reynolds,Dolores libero corporis iusto sint.,23-09-2023,28-01-2023,228,22-01-2023,112,12,
